id	NY AGI of All Returns	Taxable Income of All Returns
20008	655145.00	458920.00
20009	175476.00	135249.00
20010	7619.00	4976.00
20011	68216.00	4239.00
20012	57495.00	18997.00
20013	376724.00	286665.00
20014	1793346.25	524286.16
20015	1962045.00	1052663.38
20016	2230507.00	1468221.12
20017	2082516.00	1507888.12
20018	1718091.38	1314006.12
20019	1864809.00	1478132.25
20020	2187975.00	1794607.50
20021	2604411.75	2218754.25
20022	276630.34	248027.19
20023	390450.03	360876.66
20024	638425.06	618882.25
20026	-713032.31	6437.88
20027	844279.56	71675.88
20028	3047781.25	834862.88
20029	3548717.75	1855414.50
20030	3858036.75	2551536.00
20031	3768139.00	2756742.00
20032	3455720.00	2664549.25
20036	2089660.25	1879068.62
20040	-4358779.50	4250.99
20041	468840.09	45931.43
20042	1507888.00	508783.62
20043	1852205.12	1045696.69
20044	2231103.75	1528855.88
20045	2552150.25	1923387.38
20046	2694388.50	2138831.50
20047	3812501.00	3145446.75
20054	-211441.41	7105.54
20055	840938.69	78820.15
20056	2618326.50	740896.81
20057	3195730.75	1630367.25
20058	3517635.50	2260771.25
20059	3567400.00	2549307.75
20060	3433387.00	2592468.00
20064	1600069.00	1437060.75
20065	2317218.00	2149846.00
20066	2109788.25	2057552.62
20068	-91502.38	2083.74
20069	126422.44	18783.81
20070	381099.50	120928.70
20071	474350.47	247070.67
20072	572417.25	367312.22
20073	612478.94	431479.34
20074	649038.38	480130.88
20075	959526.31	735976.50
20076	1654738.12	1309928.62
20077	3918912.75	3253631.75
20078	672091.56	592706.88
20079	849702.94	781449.69
20080	869387.75	846995.00
20082	-18568.46	1703.57
20083	87149.30	13243.64
20084	281886.16	102303.59
20085	398116.59	229585.20
20086	460199.31	315579.34
20087	481280.69	356530.41
20088	466192.03	360920.84
20089	638569.56	505309.22
20090	991391.75	807070.25
20091	2176494.00	1850032.88
20092	352064.47	314058.84
20093	698626.06	645026.06
20094	975655.75	950116.25
20096	-1014.94	224.28
20097	12930.14	1576.35
20098	44536.63	13852.32
20099	52710.35	27332.45
20100	60639.00	39057.24
20101	65756.11	46375.10
20102	61103.40	45529.39
20103	84698.95	65158.99
20104	111748.77	89777.82
20105	127923.86	109500.94
20106	10931.99	9835.79
20107	17786.83	16635.94
20108	48769.24	47980.37
20109	698520.31	512836.97
20110	-24169.45	1134.56
20111	65022.06	9119.17
20112	217086.70	74771.67
20113	277986.81	155712.23
20114	287329.09	191266.20
20115	281501.25	203574.42
20116	275805.38	208319.77
20117	375031.62	293938.19
20118	521899.50	423409.22
20119	947705.62	811177.94
20120	140617.73	126661.30
20121	259490.31	240829.08
20122	276183.34	269544.59
20123	3901490.00	3009458.25
20124	-210.91	406.85
20125	24013.24	3259.14
20126	83727.86	27522.60
20127	103949.74	56687.72
20128	107849.86	71042.72
20129	113342.66	81301.46
20130	105484.05	78830.87
20131	141713.19	109718.54
20132	184606.67	149117.09
20133	228231.59	194549.20
20134	27565.33	24754.35
20135	60190.59	55626.22
20136	59957.94	58596.26
20137	1240421.88	911413.06
20138	-2843.03	441.37
20139	23686.42	3723.24
20140	77414.94	26554.76
20141	105834.41	59143.47
20142	115555.02	77339.14
20143	116211.15	84205.51
20144	113256.43	86025.30
20145	163224.30	127452.07
20146	223601.64	180348.05
20147	334208.53	284702.16
20148	36713.00	32900.33
20149	58676.40	54872.04
20150	118611.15	115980.74
20151	1484150.38	1133688.12
20152	-5869.63	796.00
20153	42491.60	5830.62
20154	146019.61	47439.16
20155	175838.61	94860.20
20156	180172.55	117861.18
20157	171402.98	121961.55
20158	174057.55	129225.37
20159	225613.84	174445.52
20160	302175.47	244331.39
20161	395351.38	336766.06
20162	46790.41	42205.43
20163	87788.38	81230.65
20164	134239.97	131649.69
20165	2076072.75	1528602.75
20166	4693.93	472.58
20167	26579.39	3285.07
20168	90757.79	30287.69
20169	114458.83	63108.40
20170	116235.25	76796.93
20171	120602.21	87448.72
20172	117374.03	88942.12
20173	165978.44	130165.92
20174	239661.16	194813.00
20175	386854.91	329854.06
20176	66697.86	60000.36
20177	121291.98	112353.08
20178	98905.17	96137.23
20179	1670091.00	1273665.12
20180	-20304.73	226.92
20181	14343.25	1828.35
20182	50112.32	16737.14
20183	76065.66	41784.62
20184	77698.66	51599.00
20185	78693.52	56405.65
20186	74722.57	55921.55
20187	95498.37	73858.10
20188	122743.85	99378.22
20189	168008.17	143971.78
20190	14845.01	13407.66
20191	23914.75	22355.23
20192	22989.85	22376.12
20193	799331.25	599850.31
20194	-2959.28	415.27
20195	22813.04	3464.02
20196	78060.90	27867.97
20197	109160.41	61706.59
20198	123603.22	82644.76
20199	108166.47	78300.96
20200	99855.00	75344.45
20201	159248.88	124833.24
20202	224503.50	182481.83
20203	363581.72	310950.66
20204	35146.96	31477.06
20205	69462.53	64261.10
