id	NY AGI of All Returns	Taxable Income of All Returns	Cluster
18604	15234.00	3434.00	5
18605	87420.00	74253.00	5
18606	589.00	52.00	5
18607	1042297.62	779867.75	4
18608	2007.00	917.00	5
18609	119878.00	66299.00	5
18610	209584.00	176338.00	1
18611	152952.00	131972.00	5
18612	2433.00	1842.00	5
18613	3088817.00	1578329.00	3
18614	24527.06	22766.37	5
18616	1638.00	735.00	5
18617	16089.28	2170.47	5
18618	142486.00	107828.00	5
18620	179719.00	66185.00	5
18621	-5407.89	19.73	5
18622	304193.00	224572.00	1
18623	14819.00	11434.00	5
18624	4682.00	3061.00	5
18625	6192.00	3094.00	5
18626	20187.00	14889.00	5
18627	6626.00	3465.00	5
18628	21345.36	14948.21	5
18629	3582445.00	2713280.00	3
18630	4261.00	531.00	5
18631	44366.00	42272.00	5
18632	768.00	211.00	5
18633	7379.00	5503.00	5
18634	22572.00	9794.00	5
18635	62696.00	40048.00	5
18636	117076.00	77812.00	5
18637	923150.00	754652.00	4
18638	1172.00	783.00	5
18639	48938.00	37028.00	5
18640	425057.00	320621.00	1
18642	150229.00	54575.00	5
18643	64317.00	21989.00	5
18644	68207.00	50588.00	5
18645	6047.00	3797.00	5
18646	48058.00	6878.00	5
18647	940280.00	754014.00	4
18648	3507.00	2237.00	5
18649	13891.00	7738.00	5
18650	37951.00	23557.00	5
18651	8497.00	3659.00	5
18652	29609.00	4990.00	5
18653	23089.00	20439.00	5
18654	7067.00	5444.00	5
18655	574230.00	394884.00	1
18656	57192.00	48398.00	5
18657	1259401.00	958226.00	4
18658	1028.00	391.00	5
18660	1650488.00	1185957.00	2
18661	237325.00	6419.00	5
18662	169417.00	131769.00	5
18663	311928.00	54385.00	1
18664	60371.00	42987.00	5
18665	4663.52	2913.97	5
18666	69238.00	48789.00	5
18667	1698.00	1217.00	5
18668	17123.00	12045.00	5
18669	244227.00	90594.00	1
18670	69020.00	48263.00	5
18671	784.00	207.00	5
18672	63768.00	23085.00	5
18673	31495.00	4049.00	5
18674	2254538.00	1639302.00	2
18675	3437688.00	2825275.00	3
18676	730797.00	487739.00	4
18677	1744365.00	1048638.00	2
18678	1929420.00	1872019.00	2
18679	97578.00	73012.00	5
18680	68830.00	17184.00	5
18681	653465.00	382303.00	1
18682	75101.00	33498.00	5
18683	5775.00	4049.00	5
18684	346918.00	110830.00	1
18686	8614.00	1170.00	5
18687	2523176.00	1929923.00	2
18688	768567.00	701045.00	4
18689	376122.00	331580.00	1
18690	10486.00	598.00	5
18691	-15176.51	557.25	5
18692	591397.00	557878.00	1
18693	61801.68	25679.04	5
18694	485443.00	331751.00	1
18695	413053.00	300931.00	1
18696	85818.00	61128.00	5
18697	7241.00	5281.00	5
18698	23799.00	5156.00	5
18699	27164.00	19262.00	5
18701	58249.00	44379.00	5
18702	1021.04	318.71	5
18703	52802.00	20397.00	5
18704	2939708.00	824251.00	2
18705	2609.00	1165.00	5
18706	77732.00	56561.00	5
18708	1243497.00	781919.00	4
18709	501.00	63.00	5
18710	744771.00	630210.00	4
18711	1464448.00	743131.00	4
18712	59888.00	19785.00	5
18713	304278.00	99165.00	1
18714	6578.00	4030.00	5
18715	1015473.00	538513.00	4
18716	22062.00	9267.00	5
18717	9440.00	7755.00	5
18718	8148.00	2886.00	5
18719	2896073.00	2235647.50	3
18720	1983734.00	1889571.00	2
18721	103426.00	77050.00	5
18722	221899.00	168087.00	1
18723	11399.00	7210.00	5
18724	193154.00	152873.00	1
18725	18134.00	14508.00	5
18726	9890.00	9250.00	5
18727	52820.00	43208.00	5
18728	8370.00	6006.00	5
18729	17074.00	1980.00	5
18730	7313.00	343.00	5
18731	3057147.00	1561689.00	3
18732	350123.00	355464.00	1
18733	2549578.00	2492315.00	3
18734	92983.00	61962.00	5
18735	98895.00	56649.00	5
18736	42474.00	32007.00	5
18737	426.00	29.00	5
18738	69264.00	38690.00	5
18739	144521.00	94247.00	5
18740	63429.00	52273.00	5
18741	72376.00	52755.00	5
18742	21629.00	13852.00	5
18743	379.00	32.00	5
18744	21384.00	11647.00	5
18746	1465080.00	1123704.00	4
18748	22846.00	7467.00	5
18749	801.00	163.00	5
18750	293785.00	170765.00	1
18751	3619.00	1717.00	5
18752	2218.00	1282.00	5
18753	14982.00	2014.00	5
18754	34642.00	29470.00	5
18755	44411.00	37381.00	5
18756	65036.00	45487.00	5
18758	44514.00	39244.00	5
18759	78824.00	63796.00	5
18760	63477.00	46821.00	5
18761	2554.00	1473.00	5
18762	2665.00	1679.00	5
18763	17807.00	15953.00	5
18765	118389.00	84647.00	5
18766	38200.00	28371.00	5
18767	12129.00	8402.00	5
18768	116341.00	99056.00	5
18769	123737.00	90335.00	5
18770	36970.00	20311.00	5
18771	106328.00	88260.00	5
18772	10551.00	632.00	5
18773	38570.44	23434.19	5
